id,mapel_kode,fase_kode,cabang_kode,agama_kode,teks_capaian,dokumen_kode,halaman_lampiran,status_verifikasi,catatan
CP-PAI-A,PAI,A,,ISLAM,,020/2026,,PENDING_DOKUMEN_RESMI_LANGSUNG,"Keberadaan dan ruang lingkup perubahan 020/2026 terverifikasi dari siaran pers resmi; teks keputusan langsung belum ditemukan pada URL resmi yang dapat diakses, sehingga sengaja tidak diisi dari sumber sekunder."
CP-PAI-B,PAI,B,,ISLAM,,020/2026,,PENDING_DOKUMEN_RESMI_LANGSUNG,"Keberadaan dan ruang lingkup perubahan 020/2026 terverifikasi dari siaran pers resmi; teks keputusan langsung belum ditemukan pada URL resmi yang dapat diakses, sehingga sengaja tidak diisi dari sumber sekunder."
CP-PAI-C,PAI,C,,ISLAM,,020/2026,,PENDING_DOKUMEN_RESMI_LANGSUNG,"Keberadaan dan ruang lingkup perubahan 020/2026 terverifikasi dari siaran pers resmi; teks keputusan langsung belum ditemukan pada URL resmi yang dapat diakses, sehingga sengaja tidak diisi dari sumber sekunder."
CP-PAK-A,PAK,A,,KRISTEN,,020/2026,,PENDING_DOKUMEN_RESMI_LANGSUNG,"Keberadaan dan ruang lingkup perubahan 020/2026 terverifikasi dari siaran pers resmi; teks keputusan langsung belum ditemukan pada URL resmi yang dapat diakses, sehingga sengaja tidak diisi dari sumber sekunder."
CP-PAK-B,PAK,B,,KRISTEN,,020/2026,,PENDING_DOKUMEN_RESMI_LANGSUNG,"Keberadaan dan ruang lingkup perubahan 020/2026 terverifikasi dari siaran pers resmi; teks keputusan langsung belum ditemukan pada URL resmi yang dapat diakses, sehingga sengaja tidak diisi dari sumber sekunder."
CP-PAK-C,PAK,C,,KRISTEN,,020/2026,,PENDING_DOKUMEN_RESMI_LANGSUNG,"Keberadaan dan ruang lingkup perubahan 020/2026 terverifikasi dari siaran pers resmi; teks keputusan langsung belum ditemukan pada URL resmi yang dapat diakses, sehingga sengaja tidak diisi dari sumber sekunder."
CP-PAKat-A,PAKat,A,,KATOLIK,,020/2026,,PENDING_DOKUMEN_RESMI_LANGSUNG,"Keberadaan dan ruang lingkup perubahan 020/2026 terverifikasi dari siaran pers resmi; teks keputusan langsung belum ditemukan pada URL resmi yang dapat diakses, sehingga sengaja tidak diisi dari sumber sekunder."
CP-PAKat-B,PAKat,B,,KATOLIK,,020/2026,,PENDING_DOKUMEN_RESMI_LANGSUNG,"Keberadaan dan ruang lingkup perubahan 020/2026 terverifikasi dari siaran pers resmi; teks keputusan langsung belum ditemukan pada URL resmi yang dapat diakses, sehingga sengaja tidak diisi dari sumber sekunder."
CP-PAKat-C,PAKat,C,,KATOLIK,,020/2026,,PENDING_DOKUMEN_RESMI_LANGSUNG,"Keberadaan dan ruang lingkup perubahan 020/2026 terverifikasi dari siaran pers resmi; teks keputusan langsung belum ditemukan pada URL resmi yang dapat diakses, sehingga sengaja tidak diisi dari sumber sekunder."
CP-PAH-A,PAH,A,,HINDU,,020/2026,,PENDING_DOKUMEN_RESMI_LANGSUNG,"Keberadaan dan ruang lingkup perubahan 020/2026 terverifikasi dari siaran pers resmi; teks keputusan langsung belum ditemukan pada URL resmi yang dapat diakses, sehingga sengaja tidak diisi dari sumber sekunder."
