kode_tampil,elemen_id,tingkat_kelas,teks_tujuan,semester,halaman_lampiran
TP-PP-1-1.1,ELM-PP-A-01,1,"Murid mampu mengenal bendera negara, lagu kebangsaan, simbol dan sila-sila Pancasila dalam lambang negara Garuda Pancasila dan simbol Pancasila beserta sila-sila Pancasila",1,82
TP-PP-2-1.2,ELM-PP-A-01,2,Murid mampu menerapkan nilai-nilai Pancasila di lingkungan keluarga.,1,82
TP-PP-1-2.1,ELM-PP-A-02,1,Murid mampu mengenal aturan di lingkungan keluarga,1,82
TP-PP-2-2.2,ELM-PP-A-02,2,Murid mampu menunjukkan dan menceritakan sikap mematuhi aturan di lingkungan keluarga.,1,82
TP-PP-1-3.1,ELM-PP-A-03,1,Murid mampu mengenal semboyan Bhinneka Tunggal Ika,1,82
TP-PP-2-3.2,ELM-PP-A-03,2,"Murid mampu mengidentifikasi dan menghargai identitas dirinya sesuai dengan jenis kelamin, hobi, bahasa, serta agama dan kepercayaan di lingkungan sekitar.",1,82
TP-PP-1-4.1,ELM-PP-A-04,1,"Murid mampu mengenal karakteristik lingkungan tempat tinggal dan sekolah, sebagai bagian dari wilayah Negara Kesatuan Republik Indonesia",1,82
TP-PP-2-4.2,ELM-PP-A-04,2,Murid mampu menceritakan dan mempraktikkan bekerja sama menjaga lingkungan sekitar dalam keberagaman.,1,82
TP-PP-3-1.1,ELM-PP-B-01,3,"Murid mampu mengidentifikasi makna sila-sila Pancasila, dan penerapannya dalam kehidupan sehari-hari",1,83
TP-PP-4-1.2,ELM-PP-B-01,4,Murid mampu mengenal karakter para perumus Pancasila,1,83
TP-PP-3-1.3,ELM-PP-B-01,3,Murid mampu menunjukkan sikap bangga menjadi anak Indonesia yang memiliki bahasa Indonesia sebagai bahasa persatuan di lingkungan sekitar.,2,83
TP-PP-3-2.1,ELM-PP-B-02,3,Murid mampu mengidentifikasi dan melaksanakan aturan di sekolah dan lingkungan tempat tinggal,1,83
TP-PP-4-2.2,ELM-PP-B-02,4,Murid mampu mengidentifikasi dan menerapkan hak yang didapat dan kewajiban sebagai anggota keluarga dan sebagai warga sekolah.,1,83
TP-PP-3-3.1,ELM-PP-B-03,3,"Murid mampu membedakan dan menghargai identitas, keluarga, dan teman-temannya sesuai budaya, suku bangsa, bahasa, agama dan kepercayaannya di lingkungan sekitar.",1,83
TP-PP-3-4.1,ELM-PP-B-04,3,"Murid mampu mengidentifikasi lingkungan tempat tinggal (RT, RW, desa atau kelurahan, dan kecamatan) sebagai bagian dari wilayah Negara Kesatuan Republik Indonesia",1,83
TP-PP-4-4.2,ELM-PP-B-04,4,"Murid mampu menunjukkan perilaku bekerja sama dalam berbagai bentuk keberagaman suku bangsa, sosial, dan budaya di Indonesia yang terikat persatuan dan kesatuan di lingkungan sekitar.",1,83
TP-PP-5-1.1,ELM-PP-C-01,5,Murid mampu memahami kronologi sejarah kelahiran Pancasila,1,84
TP-PP-6-1.2,ELM-PP-C-01,6,Murid mampu meneladani sikap para perumus Pancasila dan menerapkan di lingkungan masyarakat,1,84
TP-PP-5-1.3,ELM-PP-C-01,5,Murid mampu menghubungkan sila-sila dalam Pancasila sebagai suatu kesatuan yang utuh,2,84
TP-PP-6-1.4,ELM-PP-C-01,6,"Murid mampu menguraikan makna nilai-nilai Pancasila sebagai dasar negara, dan pandangan hidup bangsa.",2,84
TP-PP-5-2.1,ELM-PP-C-02,5,"Murid mampu mengimplementasikan bentuk-bentuk norma, hak, dan kewajiban dalam kedudukannya sebagai warga negara",1,84
TP-PP-6-2.2,ELM-PP-C-02,6,Murid mampu mengenal Pembukaan Undang-Undang Dasar Negara Republik Indonesia tahun 1945,1,84
TP-PP-5-2.3,ELM-PP-C-02,5,"Murid mampu mempraktikkan musyawarah untuk membuat kesepakatan dan aturan bersama, serta menerapkannya dalam lingkungan keluarga dan sekolah.",2,84
TP-PP-5-3.1,ELM-PP-C-03,5,"Murid mampu menyajikan hasil identifikasi sikap menghormati, menjaga, dan melestarikan keberagaman budaya sesuai semboyan dalam bingkai Bhinneka Tunggal Ika di lingkungan sekitar.",1,84
TP-PP-5-4.1,ELM-PP-C-04,5,"Murid mampu mengenal wilayahnya dalam konteks kabupaten/kota, dan provinsi sebagai bagian dari wilayah Negara Kesatuan Republik Indonesia",1,84
